id,listing_id,check_in_date,check_out_date
45a1c370-dcc9-4563-91ba-4e93bf5c834c,41a6bc74-a6d0-49cb-b4ff-efbfbe5e458e,2020-03-18,2020-03-19
5d66dbd3-71c0-4c95-8bc4-95a6922b4f4b,08e43175-a270-4c64-a1af-0d9df8a8dbe9,2019-08-16,2019-08-17
58015b1d-e665-412f-9866-899009bc8dfc,1449497c-faec-4000-956d-92e84f9fe78f,2020-04-15,2020-04-21
c6cde79f-7022-465c-95cf-ec883db29b48,df9da2ac-40cb-4534-b9f3-37d41a727a5c,2019-09-02,2019-09-03
81161532-2092-4e18-80b5-8bb98c8da242,7e20bfd0-d17e-4763-b8ae-122ed1a94ef8,2019-09-09,2019-09-14
1fc3a004-ff37-4297-bcc9-c5b33e0a89b5,dc934912-162f-4bcc-9c12-9049e1cc7ec3,2020-05-16,2020-05-18
391af701-7ca6-4e0b-aef7-8ac32a5a2c3a,46626886-74a1-473a-bd2a-8cae28b69f83,2019-11-26,2019-12-01
bfbed95f-982f-4736-990d-3b39770264cc,df9da2ac-40cb-4534-b9f3-37d41a727a5c,2019-08-26,2019-08-29
1b33a087-c565-46c2-a058-9fed46c8ed81,e6ab89ea-b74a-424b-8930-4a15a2f5d1c3,2020-03-13,2020-03-15
f36a5f3a-dd4f-4e2d-980f-c429c3f30645,7e20bfd0-d17e-4763-b8ae-122ed1a94ef8,2019-08-26,2019-08-28
fee3a84a-6406-4367-9736-ac4ab1b516ed,25eb44b1-6714-41ba-aca9-d126edce66d2,2019-12-12,2019-12-13
8fe2b110-d26b-4675-8600-d1fa232b76c9,869acbf8-a80d-47f9-96b3-3927882ae158,2020-05-04,2020-05-07
49d992df-2443-4451-81d5-2de2397052e2,4e93cbe5-3f91-4f52-8d22-533f2798efc8,2019-08-30,2019-08-31
dc6a7072-16eb-48a5-81de-021f36c8644c,6e7c0f60-c197-47c5-acaf-4d71d3e4b3f4,2020-03-26,2020-03-30
3a7cc0f6-7449-4b6a-b829-1e6b55ba287e,dff6edf3-4090-4227-ab89-52726081695b,2020-05-07,2020-06-01
a530bc81-073d-44ec-9d80-20a55d19d2d6,62133bba-3143-4cf1-84dd-b4f899203d6a,2020-03-06,2020-03-08
c6db76ec-2a92-48db-9492-b25c5eefced8,06cffbbb-4f28-4512-84e0-8cc33c5bd652,2020-02-14,2020-02-15
c6bdce07-be35-4fa7-ba0b-c031c95b74fe,6e7c0f60-c197-47c5-acaf-4d71d3e4b3f4,2020-03-16,2020-03-20
88ec799f-ef6e-4430-9b43-160c7b744d58,41a6bc74-a6d0-49cb-b4ff-efbfbe5e458e,2019-10-05,2019-10-07
8e6dcb53-f13a-4f93-8305-577daaf6bfb3,fa378f2b-79ac-4273-b479-235609ad8a4c,2020-05-23,2020-05-26
7fa12209-2ac3-4be5-a0b4-e31bb73480ab,ceda5fa5-182c-4cf5-8020-443fa742064c,2019-08-27,2019-09-01
8ef41774-a298-4465-9ec8-aef4970e7ec0,4e93cbe5-3f91-4f52-8d22-533f2798efc8,2020-08-04,2020-09-04
7d0b7c38-8849-4f5c-8273-91f1698226da,6c2056f1-68fe-448b-a21e-eadec61957fc,2019-08-20,2019-08-23
b28ade54-adb3-4312-805d-7813c1010ffa,ef12322e-0cf1-496d-b849-d810e151c203,2020-03-06,2020-03-08
34032bd7-5570-442c-bd50-025a7db32b40,fc9204e6-f325-4e07-a7d6-ca9aa10726d8,2020-07-07,2020-07-11
8f615080-7b82-4e98-8623-34dbf306a0bb,289567a0-6af9-4e7f-b72d-8cf4887036f3,2020-05-29,2020-05-31
f9a709a1-9a06-49df-91c3-77a30f4d5c5d,7ce52a3b-5f13-4ef4-914e-8d14fe06ca7f,2020-05-08,2020-05-10
2f959b09-c47a-466c-9c6c-6e399cc9f4d6,71cce7f2-68a6-4abf-b8ab-e25c58fd9c31,2020-03-21,2020-03-24
1fdcdbd4-9c7b-48dc-81e5-7da46f00e3ee,1c71a18b-9fb8-4b91-ac06-f798aebbea5f,2020-04-24,2020-04-27
ee162127-44fa-4442-998b-19d59d3f496d,87b7749d-45d5-4efd-a58e-a2a8daef68d0,2020-03-02,2020-03-04
5837fee0-19d5-421c-acac-1a4d75fcf37a,df9da2ac-40cb-4534-b9f3-37d41a727a5c,2020-03-07,2020-03-09
c166d0f9-2d78-463c-b872-900dad5e662a,71cce7f2-68a6-4abf-b8ab-e25c58fd9c31,2020-03-20,2020-03-25
9caa1e1d-eedb-4cf1-b976-a53033e7f925,2ac81c6f-70e3-4ad5-bac5-292afd2f94c6,2020-02-23,2020-02-24
45ad4d07-976f-4495-b25d-f450bb146346,2b461a8f-6a52-4250-843d-4d9c50231ea9,2020-03-14,2020-03-17
75afa441-526c-4c29-a1cb-2dc87ead3722,1c71a18b-9fb8-4b91-ac06-f798aebbea5f,2020-03-02,2020-03-03
b26b5abe-25af-47f9-aeba-bf3243c18fdf,27d0f0ea-0a76-472d-b3ae-f82fc258cbd9,2020-03-09,2020-03-12
65615069-3613-4868-87d1-0533bd79cb46,df9da2ac-40cb-4534-b9f3-37d41a727a5c,2020-03-20,2020-03-21
ac0b0195-22ab-4fa5-998c-f5c6d4fa4985,3814e70d-185d-4325-834d-126331ef0d70,2020-05-16,2020-05-19
1d7d6d2a-1070-429f-8ce8-451ff86d71e2,77d3a3d1-2259-463b-8ac7-c5571dddda3b,2020-03-29,2020-04-03
8d277176-440e-4815-ae94-9755049c9ebc,b8598c94-b766-4787-9ca5-9647813a7d8a,2020-02-01,2020-02-05
7f184087-64cf-4097-973f-4cc55f9b5988,46626886-74a1-473a-bd2a-8cae28b69f83,2020-03-06,2020-03-07
b6a1a3ce-9284-49aa-bd0d-f422537166a3,995101bc-7527-401d-b198-c620013728ac,2020-06-08,2020-06-11
88f752ef-e66f-48d9-b838-a89556f27ba8,995101bc-7527-401d-b198-c620013728ac,2020-03-13,2020-03-15
1e1b9497-3366-4e6e-ab15-637b8638c159,1449497c-faec-4000-956d-92e84f9fe78f,2019-12-11,2019-12-14
27931bc0-c6f4-428f-806c-df4933341d66,6c2056f1-68fe-448b-a21e-eadec61957fc,2019-08-27,2019-08-28
1950ebd3-f539-4a09-810d-8bc787c484cd,63cd030b-e2c3-417c-8e59-7d11caad06e5,2020-05-20,2020-05-24
3a0c390b-e0b0-4c23-9a0c-0badbeff882e,407aca13-5b59-46b6-b05c-28e15f70323d,2020-03-03,2020-03-04
c4bb8802-e019-4f80-a48f-b2af31a8b6bb,adaf19eb-e2c1-4bee-9d9d-bcf7051b04ab,2020-02-20,2020-02-25
1412efc4-518f-4031-bc78-5ee5c038e8bb,25eb44b1-6714-41ba-aca9-d126edce66d2,2020-03-02,2020-03-04
49e23006-8b44-4d42-8ab6-d5648158d801,982438fa-1dba-47f9-9c63-6e265d8a48c0,2020-02-12,2020-02-13
e4c72421-d914-45ae-aec4-8c66215c3af6,fd518255-642f-4226-bc65-fddebb8b40ec,2020-06-03,2020-06-08
5b2daab5-f347-4e17-a360-7c069f51fd71,1c71a18b-9fb8-4b91-ac06-f798aebbea5f,2020-03-20,2020-03-21
fd84f91b-b956-47a9-9370-a13e48e0aa6d,87b7749d-45d5-4efd-a58e-a2a8daef68d0,2020-02-28,2020-03-03
45ca2089-9e19-4d56-b6cb-f089b3e2cecd,9663b37d-f7d6-4bac-b60b-fdfbe8249dc3,2020-03-29,2020-04-04
43a5560f-2cc8-43a7-9e7d-7a5fcfbedede,a6e96002-64d4-4040-aaff-b5e493e3b851,2020-03-10,2020-03-12
614b67c9-2049-4589-8713-f961b9c8f3b3,9e9b3ebe-8cc0-40cb-95f1-d5c148c55351,2020-03-16,2020-03-22
26a2355b-889c-4d73-a939-804a5176db69,92d52c31-2a36-408b-9a7a-815b497240f9,2020-06-20,2020-06-24
cabf2632-be88-4deb-bdf3-ab9ae900332c,dc934912-162f-4bcc-9c12-9049e1cc7ec3,2020-06-18,2020-06-29
d0813789-37db-4a91-8cbb-3c2131b8fdfd,a6e96002-64d4-4040-aaff-b5e493e3b851,2020-07-03,2020-07-06
fc69892e-ae24-47e4-84ad-5e78c5724be1,25eb44b1-6714-41ba-aca9-d126edce66d2,2019-11-29,2019-12-01
b817b471-f173-43a0-997e-43f1e5764ba1,9e9b3ebe-8cc0-40cb-95f1-d5c148c55351,2020-03-30,2020-04-04
70c4135d-e847-4bad-be88-907c09dd7a4e,407aca13-5b59-46b6-b05c-28e15f70323d,2020-02-12,2020-02-13
03c0a5b8-d19d-419b-b4b0-bf3ce205486a,27d0f0ea-0a76-472d-b3ae-f82fc258cbd9,2020-04-09,2020-04-13
cd9e7317-05db-465a-b71d-9862a24de399,87fbb2c7-01b9-4f8d-96e2-f994892c59ec,2020-05-22,2020-05-26
0229a344-c7a2-42d0-8c17-b5010fd48f45,a49c7ae9-a421-44bf-badb-dd77ab70eb1a,2020-03-31,2020-04-01
cf0fd811-fc9e-40b4-84be-e3a7a89baaf6,c7d90ce7-100f-42d4-a0e8-bd55beb6505a,2020-02-13,2020-02-14
28055b31-b137-4ef1-87d2-a1bbda29d654,7e20bfd0-d17e-4763-b8ae-122ed1a94ef8,2020-06-18,2020-06-21
9e0168fd-5dfe-4896-b49e-f0a8a26e5be7,b8598c94-b766-4787-9ca5-9647813a7d8a,2020-03-06,2020-03-08
1b681375-d08b-4017-97fd-4e1066074f6a,289567a0-6af9-4e7f-b72d-8cf4887036f3,2020-03-16,2020-03-18
58875d07-c1e0-466f-99d4-4989ee82ab0c,1ff40b64-0825-45e7-aa46-ddb61cb91af7,2020-03-16,2020-03-18
68eed43f-213a-4c78-9660-a6f292b84e80,7ce52a3b-5f13-4ef4-914e-8d14fe06ca7f,2020-04-12,2020-04-14
e2960134-0b1a-4f98-898a-b2f35421f9b5,1449497c-faec-4000-956d-92e84f9fe78f,2020-01-16,2020-01-19
4425efb1-866d-4106-ab3a-8ff2cf536b7d,06cffbbb-4f28-4512-84e0-8cc33c5bd652,2020-03-30,2020-04-03
4ccc244b-19a7-4147-a80f-1c8c0db1b5fa,ef12322e-0cf1-496d-b849-d810e151c203,2020-03-08,2020-03-11
6ebeefc6-413e-42ac-9fa0-460e820072b8,e23bad2c-34cf-4f08-80c4-35f8aea0d237,2020-03-14,2020-03-20
0b6a063a-1c90-4e22-858b-3c321c47150e,9663b37d-f7d6-4bac-b60b-fdfbe8249dc3,2020-01-26,2020-01-27
52b2881a-490f-4d39-bdf7-e25375ae54ba,03d4a967-62af-4f28-8e01-254a873ed2bf,2020-04-06,2020-04-10
0c6dc277-5ba8-4f3b-a565-5270c115b146,9663b37d-f7d6-4bac-b60b-fdfbe8249dc3,2020-07-04,2020-07-06
0a43f652-8285-4ab7-ad28-6118e707ec60,ef12322e-0cf1-496d-b849-d810e151c203,2020-02-12,2020-02-13
2b5a7065-1885-4a0a-8abc-60047db7893f,dff6edf3-4090-4227-ab89-52726081695b,2020-02-14,2020-02-15
